sundanese,politeness
abus,casual
lebet,polite
acan,casual
teu acan,polite
adi,casual
pun adi,polite
tuang rai,formal
tuang rayi,formal
adi beuteung,casual
pun adi,polite
adi beuteung,polite
tuang rai,formal
tuang rayi,formal
adu,casual
aben,polite
ais,casual
ais,polite
emban,formal
ajang,casual
kanggo,polite
haturan,formal
kanggo,formal
ajar,casual
ajar,polite
wulang,formal
wuruk,formal
aji,casual
aji,polite
aos,formal
aju,casual
ajeng,polite
akang,casual
akang,polite
engkang,formal
aki,casual
pun aki,polite
tuang éyang,formal
aku,casual
angken,polite
ali,casual
ali,polite
cingcing,polite
lélépén,formal
alo,casual
pun alo,polite
kapiputra,formal
alus,casual
saé,polite
ambéh,casual
supados,polite
ambek,casual
ambek,polite
bendu,formal
wera,formal
ambeu,casual
ambeu,polite
ambung,formal
amit,casual
permios,polite
amitan,casual
permios,polite
amprok,casual
tepang,polite
anak,casual
pun anak,polite
tuang putra,formal
anco,casual
cawis,polite
anggang,casual
tebih,polite
anggel,casual
bantal,polite
bantal,formal
kajang mastaka,formal
anggeus,casual
atos,polite
parantos,polite
réngsé,polite
atos,formal
parantos,formal
angir,casual
kuramas,polite
kujamas,formal
angkir,casual
ulem,polite
haturanan calik,polite
anjang,casual
deuheus,polite
tatamu,formal
antara,casual
antawis,polite
anteur,casual
jajap,polite
sarengan,formal
anti,casual
antos,polite
anyar,casual
anyar,polite
anyaran,casual
nembéan,polite
arang,casual
awis,polite
awis awis,polite
arék,casual
badé,polite
seja,polite
arep,casual
ajeng,polite
ari,casual
dupi,polite
upami,polite
asa,casual
raos,polite
asal,casual
kawit,polite
awit,formal
kawit,formal
aso,casual
aso,polite
leleson,formal
astana,casual
makam,polite
pajaratan,polite
pasaréan,polite
asup,casual
lebet,polite
atawa,casual
atanapi,polite
ati ati,casual
ati ati,polite
atos atos,formal
atoh,casual
bingah,polite
awak,casual
awak,polite
salira,formal
awéwé,casual
awéwé,polite
istri,formal
aya,casual
aya,polite
babantu,casual
babantu,polite
babantos,formal
babari,casual
gampil,polite
babatang,casual
mayit,polite
layon,formal
babaturan,casual
réréncangan,polite
baca,casual
aos,polite
badag,casual
ageung,polite
badami,casual
badanten,polite
badan,casual
badan,polite
salira,formal
badarat,casual
badarat,polite
nyacat,formal
badéga,casual
réncang,polite
baé,casual
sawios,polite
teu sawios,polite
wios,polite
baganti,casual
bagentos,polite
bagéa,casual
haturan,polite
bagéan,casual
bagéan,polite
hancengan,formal
bageur,casual
bageur,polite
saé manah,formal
bagilir,casual
bagentos,polite
baheula,casual
kapungkur,polite
baju,casual
baju,polite
anggéan,formal
anggoan,formal
raksukan,formal
bakal,casual
badé,polite
seja,polite
bakti,casual
baktos,polite
balik,casual
wangsul,polite
mulih,formal
balur,casual
balur,polite
lulur,formal
pupur,formal
bangga,casual
abot,polite
sesah,polite
bangun,casual
bangun,polite
sapertos,formal
bantu,casual
bantu,polite
bantos,formal
bapa,casual
pun bapa,polite
tuang rama,formal
baraya,casual
réréhan,polite
sadérék,polite
wargi,formal
barempug,casual
barempug,polite
barempag,formal
bareng,casual
sareng,polite
baréto,casual
kapungkur,polite
basa,casual
nalika,polite
waktos,polite
batuk,casual
batuk,polite
gohgoy,formal
batur,casual
réncang,polite
bawa,casual
bantun,polite
candak,formal
bawirasa,casual
bawiraos,polite
ku émutan,polite
béak,casual
séép,polite
bébéja,casual
nyanggem,polite
popoyan,polite
unjukan,polite
wawartos,polite
nyarios,formal
pupulih,formal
unjukan,formal
wawartos,formal
béda,casual
bénten,polite
begang,casual
begang,polite
langsip,formal
langsit,formal
begéng,casual
begang,polite
langsip,formal
langsit,formal
béja,casual
wartos,polite
belah,casual
palih,polite
bendo,casual
bendo,polite
udeng,formal
bener,casual
leres,polite
bengék,casual
asma,polite
ampeg,formal
béré,casual
pasihan,polite
haturanan,formal
lélér,formal
paparin,formal
berekah,casual
aya hibar,polite
pangésto,polite
pangéstu,polite
damang,formal
wilujeng,formal
bésan,casual
bésan,polite
warang,formal
beubeur,casual
beubeur,polite
sabuk,polite
beulitan,formal
beuheung,casual
beuheung,polite
tenggek,formal
beuki,casual
seneng,polite
sedep,formal
beulah,casual
palih,polite
beulah Jadi 2,casual
beulah,polite
beuli,casual
pésér,polite
galeuh,formal
beunang,casual
kénging,polite
beungeut,casual
beungeut,polite
pameunteu,formal
raray,formal
beurang,casual
siang,polite
beurat,casual
abot,polite
beuteung,casual
beuteung,polite
padaharan,polite
lambut,formal
patuangan,formal
bibi,casual
pun bibi,polite
tuang ibu,formal
bijil,casual
medal,polite
bikeun,casual
paparinkeun,polite
pasihkeun,polite
haturkeun,formal
lélérkeun,formal
sanggakeun,formal
bilang,casual
étang,polite
bingung,casual
éwed,polite
bireungeuh,casual
bireungeuh,polite
tingal,polite
tingali,formal
birit,casual
birit,polite
bujur,polite
imbit,formal
bisa,casual
tiasa,polite
iasa,formal
bisa jadi,casual
tiasa janten,polite
bisi,casual
bilih,polite
bisul,casual
bisul,polite
gambuh,formal
bitis,casual
bitis,polite
wentis,formal
biwir,casual
biwir,polite
lambé,formal
lambey,formal
boa,casual
tiasa janten,polite
boga,casual
gaduh,polite
kagungan,formal
bolonan,casual
kareseban,polite
udur sasih,polite
kareseban,formal
boro,casual
bujeng,polite
boro boro,casual
bujeng bujeng,polite
buang,casual
piceun,polite
beuratan,formal
bubuang,casual
miceun,polite
kabeuratan,formal
budak,casual
budak,polite
murangkalih,formal
bujal,casual
bujal,polite
udel,formal
puser,formal
bujur,casual
birit,polite
bujur,polite
imbit,formal
buka puasa,casual
buka,polite
bobor,formal
bukti,casual
buktos,polite
bulan,casual
sasih,polite
bulan puasa,casual
sasih siam,polite
bungah,casual
bingah,polite
bungsu,casual
bungsu,polite
putra pangalitna,formal
burit,casual
sonten,polite
buru,casual
buru,polite
énggal,polite
butuh,casual
peryogi,polite
buuk,casual
buuk,polite
rambut,formal
cabak,casual
cabak,polite
cepeng,formal
cacangkir,casual
cacangkir,polite
tangkepan,formal
cageur,casual
pangésto,polite
pangéstu,polite
damang,formal
calana,casual
calana,polite
lancingan,formal
can,casual
teu acan,polite
candung,casual
wayuh,polite
caneut,casual
caneut,polite
leueut,formal
cangkéng,casual
cangkéng,polite
angkéng,formal
cangkeul,casual
cangkeul,polite
pegel,formal
cangkir,casual
cangkir,polite
tangkep,formal
capé,casual
capé,polite
palay,formal
cara,casual
sapertos,polite
caram,casual
carék,polite
caram,polite
wagel,formal
carang,casual
awis,polite
awis awis,polite
carécét,casual
saputangan,polite
salempay,formal
carék,casual
carék,polite
caram,polite
wagel,formal
carékan,casual
carékan,polite
seuseulan,formal
carita,casual
sanggem,polite
carios,formal
caritaan,casual
sanggeman,polite
cariosan,formal
cécéwok,casual
obéh,polite
ombéh,polite
cekel,casual
cekel,polite
cepeng,formal
celuk,casual
saur,polite
gentra,formal
cenah,casual
cenah,polite
saurna,formal
ceuk,casual
sanggem,polite
saur,formal
ceuli,casual
ceuli,polite
cepil,formal
ceurik,casual
ceurik,polite
nangis,formal
tangis,formal
cici,casual
cici,polite
pair,formal
cicing,casual
calik,polite
matuh,polite
calik,formal
linggih,formal
ciduh,casual
ciduh,polite
ludah,formal
cik,casual
cobi,polite
cikal,casual
cikal,polite
putra pangageungna,formal
cikiih,casual
cikahampangan,polite
ciling,casual
jamban,polite
cing,casual
cobi,polite
cipanon,casual
cipanon,polite
cisoca,formal
ciri,casual
tawis,polite
cium,casual
cium,polite
ambung,formal
coba,casual
cobi,polite
cocoba,casual
cocobi,polite
cokot,casual
bantun,polite
candak,formal
cukup,casual
cekap,polite
cukur,casual
cukur,polite
paras,formal
cumpon,casual
caos,polite
cumpon,polite
caos,formal
cunduk,casual
dongkap,polite
rawuh,formal
sumping,formal
daék,casual
purun,polite
kersa,formal
dagang,casual
dagang,polite
icalan,formal
dago,casual
antos,polite
dahar,casual
neda,polite
teda,polite
tuang,formal
dangdan,casual
dangdan,polite
dangdos,formal
dapur,casual
dapur,polite
pawon,formal
datang,casual
dongkap,polite
rawuh,formal
sumping,formal
déngé,casual
kuping,polite
dangu,formal
deukeut,casual
caket,polite
deungen,casual
réncang,polite
deungeun deungeun,casual
nu sanés,polite
déwék,casual
abdi,polite
sim kuring,polite
diangir,casual
dikuramas,polite
dikujamas,formal
diangkir,casual
diondang,polite
disaur,polite
disaur,formal
diulem,formal
dicukur,casual
dicukur,polite
diparas,formal
didik,casual
atik,polite
tutur,formal
wejang,formal
wuruk,formal
didikan,casual
atikan,polite
pitutur,formal
piwejang,formal
piwuruk,formal
digusar,casual
digusar,polite
dipeper,formal
dikubur,casual
dikaluat,polite
dikurebkeun,formal
dilétak,casual
dilétak,polite
diilat,formal
dipalar,casual
dipalar,polite
dipambrih,formal
dipamrih,formal
dipaparah,casual
dikinten kinten,polite
diri,casual
diri,polite
salira,formal
disalin,casual
disalin,polite
digentos,formal
ditaranjang,casual
ditaranjang,polite
diwuwuda,formal
diuk,casual
diuk,polite
calik,formal
linggih,formal
dosa,casual
kalelepatan,polite
dubur,casual
dubur,polite
palawangan,formal
dudukuy,casual
dudukuy,polite
topi,polite
langgukan,formal
tudung,formal
duga,casual
kinten,polite
duit,casual
artos,polite
dulur,casual
réréhan,polite
sadérék,polite
wargi,formal
duméh,casual
jalaran,polite
ku margi,polite
ku margi,formal
réhing,formal
éléh,casual
éleh,polite
kawon,formal
éling,casual
émut,polite
emang,casual
pun paman,polite
tuang rama,formal
émboh,casual
tambih,polite
embung,casual
alim,polite
narah awéwé,polite
alim,formal
teu kersa,formal
emét,casual
kedik,polite
encan,casual
teu acan,polite
endeng,casual
lami,polite
paos,formal
éndong,casual
éndong,polite
kulem,formal
enggeus,casual
atos,polite
parantos,polite
réngsé,polite
atos,formal
parantos,formal
enggon,casual
pamondokan,polite
pajuaran,formal
pangkuleman,formal
entong,casual
teu kénging,polite
enya,casual
leres,polite
muhun,polite
sumuhun,polite
yaktos,polite
enya enya,casual
leres leres,polite
éra,casual
isin,polite
lingsem,formal
éstu,casual
ésto,polite
eukeur,casual
nuju,polite
eungap,casual
sesek,polite
