basa_loma,basa_lemes_1,basa_lemes_2,indonesia
abus,lebet,lebet,masuk ke dalam
acan,teu acan,teu acan,belum
adi,(pun) adi,"(tuang) rai, (tuang) rayi",adik
adi beuteung,"(pun) adi, adi beuteung","(tuang) rai, (tuang) rayi",adik ipar
adu,aben,aben,adu
ais,ais,emban,menggendong
ajang,kanggo,"haturan, kanggo",untuk
ajar,ajar,"wulang, wuruk",mengajar
aji,aji,aos,mengaji
aju,ajeng,ajeng,menyampaikan
akang,akang,engkang,kakak
aki,(pun) aki,(tuang) éyang,kakek
aku,angken,angken,mengaku
ali,"ali, cingcing",lélépén,cincin
alo,(pun) alo,kapiputra,keponakan
alus,saé,saé,bagus
ambéh,supados,supados,supaya
ambek,ambek,"bendu, wera",marah
ambeu,ambeu,ambung,mencium bau
amit,permios,permios,pamit
amitan,permios,permios,permisi
amprok,tepang,tepang,bertemu
anak,(pun) anak,(tuang) putra,anak
anco,cawis,cawis,kerangka
anggang,tebih,tebih,jauh
anggel,bantal,"bantal, kajang mastaka",bantal
anggeus,"atos, parantos, réngsé","atos, parantos",sudah
angir,kuramas,kujamas,keramas
angkir,"ulem, haturanan calik","ulem, haturanan calik",undang
anjang,deuheus,tatamu,bertamu
antara,antawis,antawis,antara
anteur,jajap,sarengan,antara
anti,antos,antos,tunggu
anyar,anyar,anyar,baru
anyaran,nembéan,nembéan,baru
arang,"awis, awis-awis","awis, awis-awis",mahal
arék,"badé, seja","badé, seja",akan
arep,ajeng,ajeng,harap
ari,"dupi, upami","dupi, upami",kalau
asa,raos,raos,perasaan
asal,kawit,"awit, kawit",mula
aso,aso,leleson,istirahat
astana,"makam, pajaratan, pasaréan","makam, pajaratan, pasaréan",kuburan
asup,lebet,lebet,masuk
atawa,atanapi,atanapi,atau
ati-ati,ati-ati,atos-atos,"awas, hati-hati"
atoh,bingah,bingah,senang
awak,awak,salira,badan
awéwé,awéwé,istri,perempuan
aya,aya,aya,ada
babantu,babantu,babantos,membantu
babari,gampil,gampil,mudah
